date, open, high, low, close, volume
2018.04.23 08:31,1.22733,1.22735,1.22701,1.22706,61,0
2018.04.23 08:32,1.22707,1.22709,1.22699,1.22700,18,0
2018.04.23 08:33,1.22700,1.22705,1.22681,1.22682,48,0
2018.04.23 08:34,1.22682,1.22684,1.22662,1.22667,64,0
2018.04.23 08:35,1.22667,1.22667,1.22657,1.22658,17,0
2018.04.23 08:36,1.22658,1.22660,1.22657,1.22658,15,0
2018.04.23 08:37,1.22658,1.22674,1.22658,1.22673,29,0
2018.04.23 08:38,1.22673,1.22679,1.22673,1.22678,10,0
2018.04.23 08:39,1.22678,1.22694,1.22678,1.22694,24,0
2018.04.23 08:40,1.22694,1.22708,1.22689,1.22706,32,0
2018.04.23 08:41,1.22706,1.22706,1.22699,1.22705,13,0
2018.04.23 08:42,1.22705,1.22708,1.22695,1.22698,20,0
2018.04.23 08:43,1.22698,1.22698,1.22695,1.22695,4,0
2018.04.23 08:44,1.22694,1.22697,1.22692,1.22695,13,0
2018.04.23 08:45,1.22695,1.22703,1.22694,1.22699,20,0
2018.04.23 08:46,1.22699,1.22705,1.22696,1.22698,25,0
2018.04.23 08:47,1.22698,1.22698,1.22695,1.22698,8,0
2018.04.23 08:48,1.22696,1.22697,1.22694,1.22694,12,0
2018.04.23 08:49,1.22694,1.22695,1.22671,1.22671,60,0
2018.04.23 08:50,1.22671,1.22676,1.22665,1.22673,60,0
2018.04.23 08:51,1.22673,1.22677,1.22673,1.22677,13,0
2018.04.23 08:52,1.22677,1.22678,1.22672,1.22677,40,0
2018.04.23 08:53,1.22677,1.22683,1.22675,1.22683,31,0
2018.04.23 08:54,1.22683,1.22688,1.22683,1.22688,6,0
2018.04.23 08:55,1.22688,1.22692,1.22688,1.22689,6,0
2018.04.23 08:56,1.22689,1.22705,1.22689,1.22705,27,0
2018.04.23 08:57,1.22705,1.22708,1.22694,1.22699,52,0
2018.04.23 08:58,1.22699,1.22707,1.22698,1.22698,32,0
2018.04.23 08:59,1.22698,1.22709,1.22698,1.22708,14,0
2018.04.23 09:00,1.22708,1.22715,1.22704,1.22713,26,0
2018.04.23 09:01,1.22713,1.22713,1.22693,1.22704,24,0
2018.04.23 09:02,1.22704,1.22708,1.22698,1.22704,33,0
2018.04.23 09:03,1.22704,1.22716,1.22703,1.22703,29,0
2018.04.23 09:04,1.22703,1.22706,1.22699,1.22704,21,0
2018.04.23 09:05,1.22703,1.22724,1.22702,1.22724,34,0
2018.04.23 09:06,1.22724,1.22746,1.22724,1.22746,33,0
2018.04.23 09:07,1.22746,1.22778,1.22746,1.22775,84,0
2018.04.23 09:08,1.22775,1.22785,1.22773,1.22779,109,0
2018.04.23 09:09,1.22779,1.22781,1.22764,1.22764,66,0
2018.04.23 09:10,1.22764,1.22764,1.22749,1.22760,40,0
2018.04.23 09:11,1.22760,1.22764,1.22758,1.22760,26,0
2018.04.23 09:12,1.22760,1.22760,1.22753,1.22759,22,0
2018.04.23 09:13,1.22759,1.22765,1.22750,1.22763,67,0
2018.04.23 09:14,1.22763,1.22784,1.22759,1.22783,61,0
2018.04.23 09:15,1.22784,1.22799,1.22774,1.22774,88,0
2018.04.23 09:16,1.22775,1.22778,1.22768,1.22774,30,0
2018.04.23 09:17,1.22774,1.22791,1.22774,1.22780,63,0
2018.04.23 09:18,1.22780,1.22784,1.22754,1.22774,104,0
2018.04.23 09:19,1.22775,1.22791,1.22774,1.22774,156,0
2018.04.23 09:20,1.22774,1.22780,1.22770,1.22774,74,0
2018.04.23 09:21,1.22775,1.22804,1.22775,1.22787,133,0
2018.04.23 09:22,1.22787,1.22788,1.22761,1.22768,53,0
2018.04.23 09:23,1.22767,1.22777,1.22762,1.22773,83,0
2018.04.23 09:24,1.22773,1.22773,1.22748,1.22764,73,0
2018.04.23 09:25,1.22764,1.22769,1.22752,1.22752,120,0
2018.04.23 09:26,1.22752,1.22755,1.22747,1.22747,63,0
2018.04.23 09:27,1.22746,1.22750,1.22724,1.22732,89,0
2018.04.23 09:28,1.22732,1.22739,1.22731,1.22734,43,0
2018.04.23 09:29,1.22734,1.22745,1.22732,1.22744,33,0
2018.04.23 09:30,1.22744,1.22769,1.22741,1.22758,53,0
2018.04.23 09:31,1.22758,1.22772,1.22751,1.22769,83,0
2018.04.23 09:32,1.22769,1.22770,1.22753,1.22754,69,0
